Index,suggestions,sortWeight,searchBy
141,"Toronto, Ohio, USA",772,location
142,"Begusarai, Bihar, India",771,location
143,"Melbourne, Florida, USA",771,location
144,"Vijayapura / Bijapur, Karnataka, India",770,location
145,"Junagadh, Gujarat, India",769,location
146,"Yavatmal, Maharashtra, India",768,location
147,"Raigad, Maharashtra, India",767,location
148,"Sagar, Karnataka, India",764,location
149,"Yamunanagar, Haryana, India",764,location
150,"Bhiwani, Haryana, India",762,location
151,"Darbhanga, Bihar, India",759,location
152,"Salem, Ohio, USA",759,location
153,"Faizabad, Uttar Pradesh, India",758,location
154,"Haridwar, Uttaranchal, India",758,location
155,"Sagar, Madhya Pradesh, India",758,location
156,"Salem, Indiana, USA",758,location
157,"Tirunelveli, Tamil Nadu, India",758,location
158,"Wardha, Maharashtra, India",758,location
159,"Baleshwar, Orissa, India",757,location
160,"Bulandshahr, Uttar Pradesh, India",756,location
161,"Karachi, Sindh, Pakistan",756,location
162,"Thrissur, Kerala, India",753,location
163,"Sikar, Rajasthan, India",751,location
164,"Bokaro Steel City, Jharkhand, India",749,location
165,"Karimnagar, Telangana, India",749,location
166,"Tiruppur, Tamil Nadu, India",749,location
167,"Brampton, Ontario, Canada",747,location
168,"Kozhikode, Kerala, India",746,location
169,"Mehsana, Gujarat, India",746,location
170,"Ballari / Bellary, Karnataka, India",745,location
171,"Ballia, Uttar Pradesh, India",745,location
172,"Nellore, Andhra Pradesh, India",744,location
173,"Beed, Maharashtra, India",743,location
174,"Malda, West Bengal, India",742,location
175,"Shahjahanpur, Uttar Pradesh, India",741,location
176,"Buldhana, Maharashtra, India",740,location
177,"Warangal, Telangana, India",740,location
178,"Chhapra, Bihar, India",739,location
179,"Ferozepur, Punjab, India",739,location
180,"Pathankot, Punjab, India",736,location
181,"Shimla, Himachal Pradesh, India",733,location
182,"Berhampore, West Bengal, India",731,location
183,"Rae Bareli, Uttar Pradesh, India",731,location
184,"Satna, Madhya Pradesh, India",731,location
185,"Kanpur Nagar, Uttar Pradesh, India",730,location
186,"Srinagar, Jammu & Kashmir, India",729,location
187,"Kollam, Kerala, India",728,location
188,"Pashchim Champaran, Bihar, India",726,location
189,"Bikaner, Rajasthan, India",725,location
190,"Ghazipur, Uttar Pradesh, India",725,location
191,"Shivamogga, Karnataka, India",725,location
192,"Hamirpur, Uttar Pradesh, India",724,location
193,"Bihar Sharif, Bihar, India",723,location
194,"Ganganagar, Rajasthan, India",721,location
195,"Kannur, Kerala, India",721,location
196,"Ratnagiri, Maharashtra, India",721,location
197,"Sultanpur, Uttar Pradesh, India",721,location
198,"Thanjavur, Tamil Nadu, India",721,location
199,"Krishnanagar, West Bengal, India",718,location
200,"Dharamasala, Himachal Pradesh, India",714,location
201,"Sydney, New South Wales, Australia",714,location
202,"Alipore, West Bengal, India",712,location
203,"Malappuram, Kerala, India",712,location
204,"Cuddapah / Kadapa, Andhra Pradesh, India",708,location
205,"Nagaon, Assam, India",707,location
206,"Abu Dhabi, Abu Dhabi, United Arab Emirates",706,location
207,"Hamirpur, Himachal Pradesh, India",704,location
208,"Palakkad, Kerala, India",703,location
209,"Salem, Missouri, USA",531,location
210,"Salem, Oregon, USA",531,location
211,"Salem, West Virginia, USA",531,location
212,"Brampton, Cumbria, United Kingdom",464,location
213,"Sydney, Nova Scotia, Canada",453,location
214,"Aravalli, Maharashtra, India",415,location
215,"Baloda Bazar, Maharashtra, India",415,location
216,"Banaskantha, Maharashtra, India",415,location
217,"Bastar, Maharashtra, India",415,location
218,"Belagavi, Maharashtra, India",415,location
219,"Bhandara, Maharashtra, India",415,location
220,"Birbhum, Maharashtra, India",415,location
221,"Chittaurgarh, Maharashtra, India",415,location
222,"Dhule, Maharashtra, India",415,location
223,"Gadchiroli, Maharashtra, India",415,location
224,"Gondia, Maharashtra, India",415,location
225,"Gondiya, Maharashtra, India",415,location
226,"Hingoli, Maharashtra, India",415,location
227,"Jalna, Maharashtra, India",415,location
228,"Kodagu, Maharashtra, India",415,location
229,"Kutch, Maharashtra, India",415,location
230,"Malegaon, Maharashtra, India",415,location
231,"Navi Mumbai, Maharashtra, India",415,location
232,"Oras, Maharashtra, India",415,location
233,"Osmanabad, Maharashtra, India",415,location
234,"Other, Maharashtra, India",415,location
235,"Palghar, Maharashtra, India",415,location
236,"Parbhani, Maharashtra, India",415,location
237,"Purba Medinipur, Maharashtra, India",415,location
238,"Sant Ravidas Nagar, Maharashtra, India",415,location
239,"Sewagram, Maharashtra, India",415,location
240,"Siddharthnagar, Maharashtra, India",415,location
241,"Sindhudurg, Maharashtra, India",415,location
242,"Washim, Maharashtra, India",415,location
243,"Yamuna Nagar, Maharashtra, India",415,location
244,"Akbarpur, Uttar Pradesh, India",414,location
245,"Allahabad / Prayagraj, Uttar Pradesh, India",414,location
246,"Ambedkar Nagar, Uttar Pradesh, India",414,location
247,"Amroha, Uttar Pradesh, India",414,location
248,"Auraiya, Uttar Pradesh, India",414,location
249,"Badaun, Uttar Pradesh, India",414,location
250,"Bagpat, Uttar Pradesh, India",414,location
251,"Bahraich, Uttar Pradesh, India",414,location
252,"Baloda Bazar, Uttar Pradesh, India",414,location
253,"Balrampur, Uttar Pradesh, India",414,location
254,"Banda, Uttar Pradesh, India",414,location
255,"Barabanki, Uttar Pradesh, India",414,location
256,"Basti, Uttar Pradesh, India",414,location
257,"Budaun, Uttar Pradesh, India",414,location
258,"Bulandshahar, Uttar Pradesh, India",414,location
259,"Chandauli, Uttar Pradesh, India",414,location
260,"Chitrakoot, Uttar Pradesh, India",414,location
261,"Chitrakootdham, Uttar Pradesh, India",414,location
262,"Deoria, Uttar Pradesh, India",414,location
263,"Etah, Uttar Pradesh, India",414,location
264,"Etawah, Uttar Pradesh, India",414,location
265,"Faizabad / Ayodhya, Uttar Pradesh, India",414,location
266,"Farrukhabad, Uttar Pradesh, India",414,location
267,"Fatehgarh, Uttar Pradesh, India",414,location
268,"Fatehpur, Uttar Pradesh, India",414,location
269,"Firozabad, Uttar Pradesh, India",414,location
270,"Gonda, Uttar Pradesh, India",414,location
271,"Gyanpur, Uttar Pradesh, India",414,location
272,"Hapur, Uttar Pradesh, India",414,location
273,"Hardoi, Uttar Pradesh, India",414,location
274,"Hathras, Uttar Pradesh, India",414,location
275,"Jalaun, Uttar Pradesh, India",414,location
276,"Kannauj, Uttar Pradesh, India",414,location
277,"Kanpur Dehat, Uttar Pradesh, India",414,location
278,"Kanshi Ram Nagar, Uttar Pradesh, India",414,location
279,"Kaushambi, Uttar Pradesh, India",414,location
280,"Khalilabad, Uttar Pradesh, India",414,location
281,"Kheri, Uttar Pradesh, India",414,location
282,"Kushinagar, Uttar Pradesh, India",414,location
283,"Lakhimpur Kheri, Uttar Pradesh, India",414,location
284,"Lalitpur, Uttar Pradesh, India",414,location
285,"Maharajganj, Uttar Pradesh, India",414,location
286,"Mahoba, Uttar Pradesh, India",414,location
287,"Mainpuri, Uttar Pradesh, India",414,location
288,"Mau, Uttar Pradesh, India",414,location
289,"Mirzapur, Uttar Pradesh, India",414,location
290,"Navgarh, Uttar Pradesh, India",414,location
291,"Orai, Uttar Pradesh, India",414,location
292,"Other, Uttar Pradesh, India",414,location
293,"Padarauna, Uttar Pradesh, India",414,location
294,"Pilibhit, Uttar Pradesh, India",414,location
295,"Pithoragharh, Uttar Pradesh, India",414,location
296,"Pratapgarh, Uttar Pradesh, India",414,location
297,"Rampur, Uttar Pradesh, India",414,location
298,"Robertsganj, Uttar Pradesh, India",414,location
299,"Sambhal, Uttar Pradesh, India",414,location
300,"Sant Kabir Nagar, Uttar Pradesh, India",414,location
301,"Sant Ravidas Nagar, Uttar Pradesh, India",414,location
302,"Shamli, Uttar Pradesh, India",414,location
303,"Shrawasti, Uttar Pradesh, India",414,location
304,"Siddharthnagar, Uttar Pradesh, India",414,location
305,"Sitapur, Uttar Pradesh, India",414,location
306,"Sonbhadra, Uttar Pradesh, India",414,location
307,"Unnao, Uttar Pradesh, India",414,location
308,"Afzalpur, Karnataka, India",413,location
309,"Aland, Karnataka, India",413,location
310,"Alur, Karnataka, India",413,location
311,"Anantapuram, Karnataka, India",413,location
312,"Anekal, Karnataka, India",413,location
313,"Ankola, Karnataka, India",413,location
314,"Arkalgud, Karnataka, India",413,location
315,"Arsikere, Karnataka, India",413,location
316,"Athni, Karnataka, India",413,location
317,"Aurad, Karnataka, India",413,location
318,"Badami, Karnataka, India",413,location
319,"Bagalkot, Karnataka, India",413,location
320,"Bagepalli, Karnataka, India",413,location
321,"Bailahongal, Karnataka, India",413,location
322,"Bangarapet, Karnataka, India",413,location
323,"Bantwal, Karnataka, India",413,location
324,"Basavakalyan, Karnataka, India",413,location
325,"Basavana Bagevadi, Karnataka, India",413,location
326,"Belagavi, Karnataka, India",413,location
327,"Bellary / Ballari, Karnataka, India",413,location
328,"Bellary, Karnataka, India",413,location
329,"Beltangadi, Karnataka, India",413,location
330,"Belur, Karnataka, India",413,location
331,"Betigeri, Karnataka, India",413,location
332,"Bhadravati, Karnataka, India",413,location
333,"Bhalki, Karnataka, India",413,location
334,"Bhatkal, Karnataka, India",413,location
335,"Bidar, Karnataka, India",413,location
336,"Bijapur / Vijayapura, Karnataka, India",413,location
337,"Bijapur, Karnataka, India",413,location
338,"Bilgi, Karnataka, India",413,location
339,"Byadgi, Karnataka, India",413,location
340,"Challakere, Karnataka, India",413,location
341,"Chamarajanagar, Karnataka, India",413,location
342,"Chamrajnagar, Karnataka, India",413,location
343,"Channagiri, Karnataka, India",413,location
344,"Channapatna, Karnataka, India",413,location
345,"Channarayapattana, Karnataka, India",413,location
346,"Chikballapur, Karnataka, India",413,location
347,"Chikkamagaluru, Karnataka, India",413,location
348,"Chiknayakanhalli, Karnataka, India",413,location
349,"Chikodi, Karnataka, India",413,location
350,"Chincholi, Karnataka, India",413,location
351,"Chintamani, Karnataka, India",413,location
352,"Chitapur, Karnataka, India",413,location
353,"Chitradurga, Karnataka, India",413,location
354,"Devadurga, Karnataka, India",413,location
355,"Devanahalli, Karnataka, India",413,location
356,"Dharwad, Karnataka, India",413,location
357,"Doddaballapura, Karnataka, India",413,location
358,"Gadag / Betigeri, Karnataka, India",413,location
359,"Gadag, Karnataka, India",413,location
360,"Gangawati, Karnataka, India",413,location
361,"Gauribidanur, Karnataka, India",413,location
